,Meat type,Heat level,# of items,Weight (lb)
0,Pork,Medium,11,11.403248877093091
1,Beef,Medium,6,6.594132345869819
2,Turkey,Mild,8,8.616908920441551
3,Pork,Extra hot,12,10.456051750494579
4,Pork,Extra hot,12,11.62064492053652
5,Turkey,Medium,10,11.777855389361921
6,Turkey,Hot,13,14.086027357425783
7,Beef,Extra hot,10,10.166494038809315
8,Beef,Medium,12,10.783648186505049
9,Pork,Medium,7,5.225136632991502
10,Beef,Hot,18,17.279239864061804
11,Beef,Hot,4,2.9837877850053047
12,Beef,Extra hot,14,10.539313766792857
13,Beef,Mild,15,14.311103367462918
14,Turkey,Mild,16,16.69046304968414
15,Beef,Mild,12,10.977489401619449
16,Beef,Extra hot,12,11.123639653493994
17,Turkey,Hot,10,9.90675127101311
18,Beef,Mild,15,15.311148003610999
19,Pork,Hot,17,16.48296584218282
20,Turkey,Mild,13,12.309735874922378
21,Beef,Extra hot,10,8.597770775054318
22,Pork,Extra hot,15,15.649593065949071
23,Turkey,Extra hot,11,10.972127090691325
24,Turkey,Mild,8,8.54143821584624
25,Beef,Extra hot,17,17.806254774946694
26,Beef,Mild,17,14.686894068193514
27,Turkey,Extra hot,12,11.052863406305674
28,Beef,Extra hot,13,12.95111040985994
29,Turkey,Extra hot,18,18.409197788571376
30,Beef,Extra hot,11,11.712741006514602
31,Beef,Extra hot,16,17.075768250334686
32,Pork,Hot,11,13.052666250504165
33,Beef,Hot,8,7.168569330854804
34,Pork,Extra hot,20,20.58558129610741
35,Pork,Extra hot,10,11.805636304183066
36,Beef,Medium,18,16.836258567448997
37,Turkey,Hot,20,19.905120582769932
38,Pork,Hot,10,9.543649975932793
39,Pork,Mild,7,7.927788508079155
40,Beef,Hot,16,16.17339238271669
41,Beef,Hot,12,14.580323364106416
42,Turkey,Extra hot,11,8.328114152519756
43,Turkey,Mild,14,15.041043101006338
44,Beef,Extra hot,10,9.379661751890342
45,Pork,Medium,16,19.84957388196456
46,Beef,Mild,14,12.513015444592234
47,Turkey,Medium,17,16.211148442426982
48,Turkey,Extra hot,18,19.239749691916902
49,Beef,Mild,18,18.510014369000785
50,Pork,Hot,24,22.067846099576784
51,Turkey,Hot,17,13.729035377372199
52,Pork,Medium,11,12.650357337739942
53,Pork,Hot,15,14.978962002016681
54,Beef,Extra hot,15,15.451253804479817
55,Beef,Extra hot,22,24.58481056253572
56,Pork,Extra hot,15,16.249269272354866
57,Turkey,Medium,14,14.707232942129005
58,Pork,Extra hot,6,5.373111921644132
59,Turkey,Mild,17,12.86964144648749
60,Beef,Mild,9,12.291817981250645
61,Pork,Medium,12,9.692696464375459
62,Beef,Extra hot,17,16.589198625721693
63,Beef,Mild,13,12.88434259422475
64,Turkey,Hot,17,19.467112560552422
65,Pork,Mild,20,20.88209667824189
66,Pork,Hot,10,9.328220088774
67,Turkey,Hot,16,16.547313569340055
68,Pork,Hot,10,10.246865478413117
69,Beef,Mild,12,12.731573362537741
70,Pork,Hot,11,11.711376642248583
71,Turkey,Hot,15,12.10690382283251
72,Pork,Medium,11,12.758570351701302
73,Turkey,Medium,11,10.050536292583006
74,Beef,Medium,18,18.25846606974249
75,Pork,Mild,14,13.780445026787035
76,Beef,Medium,14,12.45408563593651
77,Pork,Hot,11,11.02917495842027
78,Pork,Medium,12,12.487477365519899
79,Pork,Mild,8,9.632609951704815
80,Pork,Hot,15,16.36034644770181
81,Pork,Extra hot,10,9.701577693488508
82,Turkey,Extra hot,10,10.83975094893042
83,Turkey,Medium,18,18.973399049771288
84,Beef,Mild,15,14.267616349796949
85,Pork,Hot,13,12.575190152036258
86,Beef,Hot,16,14.528266706403961
87,Pork,Mild,7,7.649863346241149
88,Beef,Medium,11,11.771656371094817
89,Pork,Hot,15,15.310780149778301
90,Turkey,Mild,24,26.116631844885664
91,Beef,Hot,14,12.550202466744302
92,Beef,Mild,13,13.319236145918783
93,Turkey,Hot,11,10.926377201479745
94,Beef,Mild,10,10.032382350964332
95,Pork,Extra hot,9,6.8864867126226414
96,Beef,Extra hot,12,10.93705583760495
97,Beef,Medium,15,17.305301565775896
98,Turkey,Extra hot,11,10.849906133765057
99,Pork,Extra hot,12,10.979475307317031
